ID,E-W,N-S,SPAD
464,716625.005,7695383.943,64.5
465,716621.142,7695383.563,60
466,716617.914,7695383.637,64.5
467,716615.352,7695383.474,62
468,716612.488,7695382.885,60.9
469,716608.158,7695383.096,68.2
470,716605.259,7695382.104,57.7
471,716602.402,7695381.448,61.8
472,716600.296,7695379.468,61.3
473,716596.847,7695379.341,61
474,716594.107,7695377.774,60.2
475,716591.876,7695376.87,64
476,716590.387,7695373.971,65.2
477,716586.722,7695373.235,60.8
478,716584.986,7695371.13,61
479,716582.245,7695369.583,59.3
480,716580.038,7695367.77,61.1
481,716579.545,7695364.861,62.5
482,716576.407,7695363.509,64.8
483,716574.757,7695361.218,59.8
484,716572.518,7695359.382,59.9
485,716571.599,7695356.259,57.3
486,716569.229,7695354.289,59.1
487,716567.505,7695351.285,61.4
488,716566.407,7695348.175,53
489,716566.072,7695345.686,55.5
490,716565.207,7695342.719,55.2
491,716564.443,7695339.341,56.4
492,716563.54,7695336.48,57.7
493,716563.165,7695333.812,63.2
494,716562.555,7695331.032,58.8
495,716562.059,7695327.933,50.6
496,716561.291,7695325.346,59.7
497,716561.55,7695321.862,57.9
498,716561.5,7695319.354,53.9
499,716561.628,7695316.479,56
500,716561.932,7695313.219,52.5
501,716562.626,7695309.907,51.8
502,716563.147,7695306.558,64.1
503,716564.153,7695303.752,63
504,716564.857,7695301.766,62.6
505,716565.382,7695298.996,62.9
506,716567.165,7695295.257,60.2
507,716568.62,7695292.328,58.9
508,716569.925,7695289.74,56.8
509,716571.649,7695286.732,61.7
510,716573.598,7695284.003,64.8
511,716575.609,7695281.534,59.6
512,716577.189,7695278.911,55
513,716579.781,7695276.408,63.6
514,716582.097,7695274.785,59
515,716584.237,7695272.467,58.7
516,716586.667,7695270.819,61.3
517,716589.719,7695268.448,63.7
518,716592.308,7695266.567,63.3
519,716594.873,7695265.38,62.4
520,716597.61,7695264.073,56.4
521,716600.334,7695262.638,61.6
522,716602.856,7695261.508,59.2
523,716605.024,7695260.946,61.9
524,716607.002,7695260.424,59.8
525,716609.961,7695259.588,59.5
526,716612.717,7695258.653,58.6
527,716615.519,7695258.549,53
528,716618.749,7695258.252,60.9
529,716623.64,7695258.166,62.1
530,716627.227,7695257.697,63
531,716630.754,7695258.147,62.7
532,716633.964,7695258.789,64.6
533,716637.208,7695259.156,61.7
534,716640.443,7695260.243,65.9
535,716644.905,7695261.583,62.4
536,716648.849,7695263.257,61.5
537,716652.371,7695264.517,66.4
538,716654.637,7695265.833,59.7
539,716656.868,7695267.242,61.4
540,716658.794,7695268.315,64.5
541,716662.326,7695270.516,60.5
542,716664.425,7695273.196,63.8
543,716667.683,7695274.725,62.6
544,716668.604,7695278.611,65.1
545,716672.681,7695279.655,65.5
546,716674.392,7695282.122,68
547,716674.864,7695284.789,53.6
548,716677.127,7695287.875,65.3
549,716679.571,7695289.515,65.9
550,716680.44,7695293.827,65.3
551,716681.887,7695296.52,69.2
552,716683.513,7695298.452,61.8
553,716684.229,7695302.416,65.2
554,716685.114,7695305.653,60.1
555,716686.288,7695306.892,64.5
556,716686.211,7695310.29,63.6
557,716687.263,7695313.274,63.2
558,716687.903,7695316.519,63.2
559,716687.806,7695320.951,71.2
560,716686.859,7695325.613,69
561,716686.623,7695329.505,66.8
562,716686.789,7695332.584,59.8
563,716686.478,7695335.789,65.3
564,716685.28,7695339.02,65.6
565,716684.177,7695341.994,66.4
566,716683.071,7695345.671,66
567,716675.795,7695344.169,63
568,716674.396,7695348.023,63
569,716672.579,7695350.951,60.4
570,716671.14,7695353.454,65.2
571,716669.599,7695356.615,64.3
572,716666.523,7695359.745,61
573,716663.902,7695361.775,62.5
574,716662.107,7695363.644,60
575,716659.676,7695366.016,62
576,716656.14,7695367.973,61.6
577,716653.569,7695369.54,48.5
578,716651.967,7695371.756,60.5
579,716648.075,7695373.29,66.2
580,716645.113,7695374.284,63.2
581,716642.42,7695375.445,58.7
582,716639.288,7695376.825,66.8
583,716635.327,7695377.341,62.6
584,716632.241,7695377.97,60.3
585,716628.994,7695378.255,62.6
586,716625.824,7695377.854,65.9
587,716622.984,7695378.552,60.7
588,716618.997,7695378.28,64.4
589,716615.686,7695378.267,57.9
590,716612.407,7695377.57,64.6
591,716609.167,7695376.807,64
592,716607.367,7695375.738,61.6
593,716604.384,7695374.649,60.5
594,716601.908,7695373.225,62.6
595,716598.737,7695372.042,65.8
596,716594.73,7695369.967,62.8
597,716592.391,7695368.403,64.3
598,716588.858,7695367.065,65.4
599,716585.935,7695364.565,60.7
600,716584.032,7695361.979,60.4
601,716581.653,7695359.284,65.7
602,716579.224,7695357.395,62.8
603,716577.348,7695354.456,62.6
604,716576.243,7695352.921,58.9
605,716574.214,7695350.089,62.8
606,716572.663,7695346.502,58.2
607,716570.757,7695342.963,63.3
608,716569.69,7695339.837,64.8
609,716568.907,7695336.735,61.1
610,716567.846,7695333.521,58.8
611,716567.048,7695329.725,61.1
612,716567.965,7695326.577,64.6
613,716566.237,7695323.297,65.8
614,716566.333,7695319.587,65.6
615,716566.781,7695315.698,56.9
616,716567.17,7695312.67,58.6
617,716567.691,7695309.455,60.6
618,716568.788,7695305.875,62.6
619,716569.725,7695303.226,61.9
620,716570.479,7695300.168,68.4
621,716571.779,7695297.183,63.3
622,716573.316,7695294.463,60.3
623,716574.664,7695291.99,65.5
624,716577.109,7695287.918,64.5
625,716579.759,7695285.112,60.5
626,716582.642,7695281.607,58.8
627,716586.674,7695278.103,49.9
628,716588.74,7695275.835,61.7
629,716592.258,7695273.762,62
630,716595.644,7695271.438,59
631,716596.395,7695270.637,63.2
632,716599.354,7695269.028,60.7
633,716602.237,7695268.512,55.5
634,716605.154,7695267.025,61.6
635,716606.784,7695266.792,62.6
636,716610.677,7695265.792,60.8
637,716613.945,7695265.536,60.5
638,716616.583,7695264.466,63.4
639,716620.216,7695264.974,54.6
640,716624.636,7695264.003,60.4
641,716626.895,7695264.637,53.3
642,716631.865,7695265.136,64.3
643,716635.273,7695265.081,60.1
644,716637.97,7695266.267,64.9
645,716640.71,7695267.167,58.9
646,716643.636,7695268.12,55.5
647,716646.157,7695269.327,59.2
648,716648.913,7695271.092,62.5
649,716651.967,7695271.985,60.3
650,716654.771,7695273.68,56.1
651,716657.725,7695274.937,60.3
652,716660.46,7695277.03,61.5
653,716662.264,7695278.978,61.3
654,716665.256,7695281.525,60
655,716666.628,7695284.597,60.7
656,716669.143,7695287.323,63
657,716670.895,7695289.742,61.5
658,716672.414,7695292.354,64
659,716674.7,7695296.161,66
660,716677.225,7695298.962,63.7
661,716677.991,7695301.599,59.2
662,716679.248,7695305.036,61.5
663,716679.386,7695308.261,62.7
664,716680.075,7695311.449,62.9
665,716680.633,7695314.76,60.4
666,716681.732,7695317.496,66
667,716680.868,7695319.848,62.9
668,716680.94,7695323.661,65.7
669,716680.664,7695327.542,68.7
670,716679.9,7695331.972,66.2
671,716680.287,7695335.362,67.9
672,716678.911,7695338.195,67.3
673,716678.177,7695341.533,56
675,716670.475,7695342.867,65.1
676,716668.995,7695345.42,63.9
677,716667.568,7695348.146,66.6
678,716665.531,7695350.268,66.3
679,716664.432,7695351.752,65.5
680,716662.856,7695355.246,61
681,716660.444,7695357.126,61.4
682,716657.204,7695359.89,59.2
683,716654.96,7695361.23,65
684,716653.414,7695362.281,63.5
685,716651.896,7695363.968,57.4
686,716648.447,7695366.424,63.3
687,716645.404,7695366.25,64.6
688,716641.947,7695368.154,54.7
689,716639.584,7695368.776,59
690,716637.65,7695369.714,61
691,716633.135,7695370.38,60.6
692,716629.914,7695371.475,62.4
693,716626.576,7695371.454,56.7
694,716623.44,7695371.789,59.4
695,716621.781,7695371.147,60.9
696,716617.778,7695371.397,61.7
697,716615.223,7695371.391,60.1
698,716612.338,7695370.513,59.6
699,716610.181,7695369.583,57.5
700,716607.59,7695368.519,52.8
701,716605.293,7695367.587,62.7
702,716601.105,7695366.622,62.7
703,716599.436,7695364.84,56.1
704,716596.661,7695363.169,58.1
705,716593.899,7695362.405,62.4
706,716591.528,7695360.132,61.6
707,716589.389,7695358.143,65.7
708,716588.001,7695356.501,65.3
709,716585.614,7695354.229,62.9
710,716584.076,7695352.16,62.1
711,716582.441,7695350.163,62.2
712,716580.098,7695347.363,65.4
713,716578.757,7695343.157,63.2
714,716577.003,7695340.703,66.7
715,716575.919,7695337.601,61.7
716,716574.798,7695334.774,62.7
717,716573.718,7695330.887,64.4
718,716573.52,7695328.373,67.2
719,716573.338,7695325.905,59.7
720,716573.406,7695323.153,63.4
721,716573.206,7695320.254,59.5
722,716573.29,7695317.553,61.4
723,716573.773,7695315.286,56.3
724,716574.078,7695312.667,64.8
725,716574.424,7695309.812,65.6
726,716575.149,7695306.693,63.5
727,716576.073,7695304.061,64.8
728,716577.149,7695301.607,63.5
729,716577.909,7695299.368,64.8
730,716579.583,7695296.771,60.9
731,716581.59,7695293.687,61.1
732,716583.843,7695290.71,60.7
733,716585.255,7695288.58,59.7
734,716589.24,7695285.455,58.8
735,716592.86,7695281.937,63.5
736,716595.054,7695280.497,53.7
737,716598.045,7695278.294,57.3
738,716600.025,7695276.712,63.2
739,716602.902,7695275.647,58.7
740,716605.594,7695274.387,62.7
741,716607.868,7695273.745,62.3
742,716612.404,7695272.364,64.3
743,716615.446,7695271.907,62
744,716619.584,7695270.817,59.4
745,716623.803,7695271.269,60.3
746,716626.902,7695271.545,61.7
747,716629.735,7695271.897,64.8
748,716633.422,7695272.289,62.1
749,716637.029,7695273.03,65.3
750,716640.374,7695274.193,65.6
751,716643.079,7695275.219,61.9
752,716645.986,7695276.381,63.7
753,716648.595,7695278.045,63.5
754,716652.234,7695279.918,64.2
755,716655.107,7695282.2,66.7
756,716658.443,7695284.806,62.1
757,716660.579,7695287.221,63.6
758,716664.104,7695290.894,61.4
759,716665.121,7695293.122,61.5
760,716666.822,7695295.743,63.3
761,716668.828,7695297.75,64.1
762,716670.079,7695302.107,63.8
763,716671.553,7695304.942,63.1
764,716672.452,7695307.71,62.8
765,716673.273,7695311.976,63.6
766,716674.086,7695315.068,63.3
767,716674.51,7695320.094,60.9
768,716673.879,7695323.737,63.6
769,716673.631,7695327.642,63.2
770,716673.44,7695331.882,65.7
771,716672.945,7695335.263,64.3
772,716672.095,7695338.223,63
773,716670.941,7695340.699,61.6
774,716665.506,7695340.11,65
775,716665.237,7695342.275,65.3
776,716663.288,7695345.4,62.2
777,716662.002,7695347.913,68
778,716659.259,7695350.376,65.6
779,716656.421,7695353.054,65.3
780,716653.551,7695355.38,67.6
781,716650.977,7695357.288,64.6
782,716648.414,7695358.944,66.6
783,716645.205,7695360.535,62.6
784,716641.841,7695362.154,63.3
785,716639.36,7695363.052,62
786,716636.362,7695363.947,63
787,716632.002,7695365.555,60
788,716630.61,7695365.042,61.3
789,716626.849,7695365.652,62.2
790,716622.33,7695365.422,61.3
791,716618.094,7695366.311,62
792,716615.444,7695365.843,59.5
793,716612.356,7695365.007,65.3
794,716610.401,7695363.119,64.2
795,716606.353,7695363.027,65.9
796,716602.819,7695361.442,63.9
797,716601.612,7695358.997,63.9
798,716598.05,7695358.393,65.5
799,716596.62,7695355.724,59.2
800,716594.311,7695353.875,65.1
801,716591.063,7695352.367,60.1
802,716589.825,7695349.643,63.9
803,716587.367,7695348.196,63
804,716586.78,7695344.264,63.3
805,716584.711,7695341.227,59.7
806,716582.695,7695338.805,64.8
807,716581.391,7695336.184,65.3
808,716580.165,7695333.473,59.3
809,716579.854,7695330.791,66
810,716580.682,7695326.906,57.4
811,716580.316,7695323.735,61.3
812,716578.82,7695320.908,60
813,716579.168,7695317.668,60.9
814,716580.895,7695314.162,63.7
815,716580.187,7695311.487,65
816,716582.496,7695307.437,58.9
817,716582.489,7695305.008,59.6
818,716583.824,7695301.397,61.2
819,716585.703,7695298.22,57.9
820,716587.457,7695295.94,64.4
821,716590.728,7695292.531,61.4
822,716592.654,7695289.996,62.3
823,716594.254,7695288.516,64.7
824,716596.398,7695286.442,60.5
825,716600.418,7695283.424,64.9
826,716602.613,7695282.442,59.4
827,716606.428,7695280.396,62
828,716609.004,7695279.145,57.8
829,716611.672,7695278.518,63.6
830,716613.679,7695278.374,62.7
831,716616.94,7695277.486,66.6
832,716620.93,7695276.683,66.5
833,716624.31,7695276.592,61.6
