Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.03864,-22.67266333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,4.136
-51.03863499,-22.67265166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,9.306000000000001
-51.03864333,-22.67263333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,3.6
-51.03865666,-22.67260166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,4.071000000000001
-51.03869166,-22.67257833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,4.159
-51.038725,-22.672539999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,2.802
-51.03875166,-22.67251166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,4.732
-51.03877833,-22.67247833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,3.72
-51.03879833,-22.67243333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,5.132999999999999
-51.03882666,-22.67240333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,4.456
-51.038865,-22.67236999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,3.5
-51.03889666,-22.67233833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,3.35
-51.03892166,-22.6723,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,5.1339999999999995
-51.03894666,-22.67227666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,12.95
-51.03897166,-22.67224333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,3.239
-51.03899666,-22.67224333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,2.6919999999999997
-51.03900333,-22.67221333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,1.7630000000000001
-51.03901,-22.67218833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,1.194
-51.03904499,-22.67215333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,4.181
-51.039055,-22.67213833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.11,8.472999999999999
-51.03906999,-22.67212,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,1.858
-51.03908666,-22.67210166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,2.314
-51.03909666,-22.67209333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.86
-51.03912666,-22.67205833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.701
-51.03915166,-22.67203499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,4.145
-51.03917499,-22.672015,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.61,4.44
-51.03920166,-22.67198333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,2.068
-51.03924666,-22.67194833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,3.475
-51.03926666,-22.671925,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,4.706
-51.03926666,-22.67191666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,7.706
-51.03929333,-22.67190499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,2.062
-51.03930999,-22.67188166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.8510000000000004
-51.03933333,-22.67185333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.31,3.6039999999999996
-51.03935666,-22.67183,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.4010000000000002
-51.03937833,-22.67179333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,3.822
-51.03940666,-22.67175333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.657
-51.03943333,-22.67172166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,3.137
-51.03945999,-22.67169499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.47
-51.03949,-22.671665,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.11,3.535
-51.03951999,-22.671635000000002,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,4.499
-51.039555,-22.67159833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,2.966
-51.03958333,-22.67156333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,3.283
-51.039605,-22.67153666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,2.54
-51.03963166,-22.67149999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,4.98
-51.03965833,-22.67146666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,2.865
-51.03968499,-22.671429999999997,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,2.6439999999999997
-51.03971666,-22.67139833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.31,2.842
-51.03974666,-22.671364999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,2.676
-51.03977833,-22.67133166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,2.8560000000000003
-51.03981166,-22.67129333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,2.492
-51.03983833,-22.67125333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,3.05
-51.03987333,-22.67122,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,4.037
-51.03990166,-22.671185,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,3.404
-51.03993833,-22.67114166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,4.25
-51.03996499,-22.67111666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,4.763999999999999
-51.03999666,-22.67109,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.71,3.248
-51.040009999999995,-22.67107166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,5.336
-51.04002666,-22.67104833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,5.495
-51.04006166,-22.67101333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,2.95
-51.040095,-22.67098833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,4.577
-51.04011999,-22.67096166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,5.9670000000000005
-51.04015666,-22.67092999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,4.798
-51.04019833,-22.67089666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.41,3.089
-51.040234999999996,-22.67086333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,2.9960000000000004
-51.04027833,-22.67084,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,4.808
-51.04032,-22.67082333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.51,7.306
-51.04036333,-22.67080666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.51,4.917
-51.04039166,-22.67077333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.61,4.231
-51.04041666,-22.67074666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.41,8.623
